Club Name,City,Stadium,Country,Est. Date,User Name,Logo
Aalborg BK,,,Denmark,,,
Aberdeen FC,,,Scotland,,,50122.png
Celtic FC,,,Scotland,,,50050.png
FC Zenit Saint Petersburg,,Petrovsky Stadium,Russia,,,52826.png
Basel FC,,,Switzerland,1893,,59856.png
FC Academia Chisinau,,,,,,
KS Ada Velipoje,,,,,,
AEK Futsal,,,,,,
AEL Limassol FC,,,,,,
Afrika,,,,,,
AIK,,,,,,
Akademia Elpides Karditsas,,,,,,
FC Akzhayik,,,,,,
Clube de Albergaria,,,,,,
Ammanford Futsal Club,,,,,,
Anorthosis Famagusta FC,,,,,,
AORC/Palestra,,,,,,
Apollon Limassol,,,,,,
Tallinna FC Ararat,,,,,,
Aris Limassol FC,,,,,,
Arras FCF,,,,,,
AS Muret,,,,,,
FC Ashdod,,,,,,
ATEKS-SDUShOR,,,,,,
FK Atlantas,,,,,,
ATEKS-SDUShOR,,,,,,
Atlético Ouriense,,,,,,
FC Augsburg,,,,,,
Arsenal,,,England,,,52280.png
Aston Villa,,,England,,,52683.png
Barnsley,,,England,,,
Birmingham City,,,England,,,
Blackburn Rovers,,,England,,,53355.png
Blackpool,,,England,,,
Bolton Wanderers,,,England,,,
Bournemouth,,,England,,,
Bradford City,,,England,,,
Burnley,,,England,,,
Cardiff City,,,England,,,
Charlton Athletic,,,England,,,69598.png
Chelsea,,,England,,,52914.png
Coventry City,,,England,,,
Crystal Palace,,,England,,,
Derby County,,,England,,,
Everton,,,England,,,52281.png
Fulham,,,England,,,
Hull City,,,England,,,
Ipswich Town,,,England,,,
Leeds United,,,England,,,
Leicester City,,,England,,,
Liverpool,Liverpool,,England,,,7889.png
Manchester City,,,England,,,52919.png
Manchester United,,,England,,,52682.png
Middlesbrough,,,England,,,
Newcastle United,,,England,,,
Norwich City,,,England,,,
Nottingham Forest,,,England,,,
Oldham Athletic,,,England,,,
Portsmouth,,,England,,,
Queens Park,,,England,,,52282.png
Rangers,,,England,,,
Reading,,,England,,,93338.png
Sheffield United,,,England,,,
Sheffield Wednesday FC,,,England,,,52922.png
Southampton,,,England,,,
Stoke City,,,England,,,53356.png
Sunderland,,,England,,,
Swansea City,,,England,,,52659.png
Swindon Town,,,England,,,
Tottenham Hotspur,,,England,,,1652.png
Watford,,,England,,,
West Bromwich,,,England,,,53359.png
Albion,,,England,,,
West Ham United,,,England,,,53358.png
Wigan Athletic,,,England,,,89696.png
Wimbledon,,,England,,,
Wolverhampton,,,England,,,
Wanderers,,,England,,,
Athletic Bilbao,Bilbao,,Spain,,,50125.png
Atlético Madrid,Madrid,,Spain,,,50124.png
Barcelona FC,Barcelona,,Spain,,,50080.png
Betis,Sevilla,,Spain,,,
Celta Vigo,Vigo,,Spain,,,
Deportivo La Coruña,A Coruña,,Spain,,,
Eibar,Eibar,,Spain,,,
Espanyol,Barcelona,,Spain,,,
Getafe,Getafe,,Spain,,,
Granada,Granada,,Spain,,,
Las Palmas,Las Palmas de Gran Canaria,,Spain,,,
Levante,Valencia,,Spain,,,
Málaga,Málaga,,Spain,,,
Rayo Vallecano,Madrid,,Spain,,,
Real Madrid,Madrid,,Spain,,,50051.png
Real Sociedad,San Sebastián,,Spain,,,
Sevilla,Seville,,Spain,,,
Sporting de Gijón,Gijón,,Spain,,,
Valencia,Valencia,,Spain,,,52268.png
Villarreal,Villarreal,,Spain,,,
Atalanta,Bergamo,Stadio Atleti Azzurri d'Italia,Italy,,,52816.png
Cagliari,Cagliari,Stadio Sant'Elia,Italy,,,
Cesena,Cesena,Stadio Dino Manuzzi,Italy,,,
